iter	Logloss
0	0.3928936292
1	0.2242990565
2	0.1369856731
3	0.1086080622
4	0.09618971481
5	0.08055005862
6	0.05409025872
7	0.03988964978
8	0.03189561611
9	0.02674340559
10	0.02224081362
11	0.01836794027
12	0.01581036439
13	0.01365130202
14	0.01071193924
15	0.009914796477
16	0.009217702967
17	0.008301004708
18	0.007684308991
19	0.007190494404
20	0.006603149764
21	0.00610855091
22	0.005664879354
23	0.005393137313
24	0.004849474083
25	0.004595049658
26	0.004393453614
27	0.004210800987
28	0.004053828269
29	0.003921367475
30	0.003786723893
31	0.003660644033
32	0.003536426442
33	0.003318090256
34	0.003219411347
35	0.003079081144
36	0.002944553725
37	0.002859581394
38	0.002740759542
39	0.002679600828
40	0.002566916125
41	0.002485740375
42	0.002411916691
43	0.002314485962
44	0.002251523988
45	0.002153034954
46	0.002104913322
47	0.002061138758
48	0.002009512279
49	0.001958215144
50	0.00191025482
51	0.001859106545
52	0.001816779139
53	0.001780066321
54	0.001741945979
55	0.001703507524
56	0.001659479552
57	0.001627901446
58	0.001593082688
59	0.001549497838
60	0.00153412613
61	0.001510900006
62	0.001481463185
63	0.001443910391
64	0.001443821507
65	0.001415347044
66	0.001364748653
67	0.001364389381
68	0.001337285471
69	0.001337245906
70	0.001337201614
71	0.00131253965
72	0.00131249206
73	0.001289537211
74	0.00128936887
75	0.001263642414
76	0.001244275586
77	0.001220454667
78	0.001207405043
79	0.001207405043
80	0.001207333723
81	0.001207320466
82	0.001207298782
83	0.001202806404
84	0.001191597128
85	0.001183485534
86	0.001165470826
87	0.001141428496
88	0.001141276196
89	0.001127779109
90	0.001115333426
91	0.001115386052
92	0.001111131915
93	0.001102864854
94	0.001102661058
95	0.001102656331
96	0.001096104968
97	0.001095677253
98	0.001080234671
99	0.001072776226
100	0.001053931984
101	0.001053931984
102	0.001053889953
103	0.001052811632
104	0.001038994173
105	0.001038852766
106	0.001038805288
107	0.001033087343
108	0.001033072133
109	0.001033085288
110	0.001033067714
111	0.001033067714
112	0.001033076552
113	0.001033076552
114	0.001033025888
115	0.001033018284
116	0.00102572105
117	0.001014022508
118	0.001005594673
119	0.001005594673
120	0.001005594673
121	0.001005538768
122	0.001005523558
123	0.0009951538637
124	0.0009785313615
125	0.0009781714728
126	0.0009776726435
127	0.0009713688263
128	0.0009712541203
129	0.0009710875356
130	0.0009710347135
131	0.0009709128323
132	0.0009709003976
133	0.0009708605241
134	0.0009704396948
135	0.0009597709772
136	0.0009592990728
137	0.0009513085397
138	0.0009379639846
139	0.0009303437271
140	0.0009302184546
141	0.0009301614191
142	0.0009301712847
143	0.0009244009947
144	0.0009241386315
145	0.0009132970697
146	0.0009131554572
147	0.0009024283405
148	0.0009021825227
149	0.0008923086771
150	0.0008922775388
151	0.0008920633732
152	0.0008871771096
153	0.0008864125371
154	0.0008864298019
155	0.0008864298019
156	0.0008864539521
157	0.0008796006399
158	0.0008683191082
159	0.0008641483061
160	0.0008577115041
161	0.0008577115041
162	0.0008577115041
163	0.0008577115041
164	0.0008577487056
165	0.0008575874134
166	0.0008572422717
167	0.0008572422717
168	0.000850335051
169	0.0008503000075
170	0.0008405297415
171	0.0008404505084
172	0.0008399613485
173	0.0008351713682
174	0.0008352317436
175	0.0008337399318
176	0.000830744789
177	0.0008304668053
178	0.0008303724749
179	0.0008302331139
180	0.000830170118
181	0.0008301193513
182	0.0008301193513
183	0.0008300831774
184	0.0008263007069
185	0.0008169561701
186	0.0008168112085
187	0.0008168112085
188	0.0008165778255
189	0.0008163919299
190	0.0008164083726
191	0.0008144272722
192	0.0008143304661
193	0.0008138637935
194	0.0008075289644
195	0.0008075211028
196	0.0008075211028
197	0.0008075211028
198	0.0008074357551
199	0.0008073405418
